ID_Mahasiswa ;Label;Nilai_Matematika;Nilai_Biologi;Nilai_Fisika;Nilai_Kimia ;Nilai_English;Kognitif_Skills;Creativity_Innovation;Communication_Collaboration;Adaptation_DecisionMaking;Tech_Coding_Interest;Research_Data_Interest;Problem_Solving_Interest ;Creative_Social_Skills ;Field_Work_Interest ;Leadership_Skills ;Preference for Practical Work
M001;Matematika;86;67;74;75;74;99;70;73;76;1;1;1;0;0;0;1
M002;Matematika;81;67;77;70;72;94;75;68;85;1;0;1;0;0;0;0
M003;Matematika;85;68;72;71;78;93;70;67;81;1;1;1;0;0;0;0
M004;Matematika;82;65;76;73;73;87;79;66;85;1;0;0;0;0;0;1
M005;Matematika;82;65;74;69;72;93;74;65;84;1;1;0;1;0;1;0
M006;Matematika;87;66;78;67;80;85;73;73;75;1;1;1;0;0;1;0
M007;Matematika;80;69;76;71;70;91;76;74;77;1;1;1;0;0;0;1
M008;Matematika;83;64;76;74;72;92;76;66;81;1;1;0;0;0;1;1
M009;Matematika;90;60;70;71;76;85;74;66;75;0;0;1;1;1;0;1
M010;Matematika;84;67;79;65;70;85;70;72;77;1;0;0;0;1;0;0
M011;Matematika;85;65;73;75;78;86;74;72;77;1;1;1;1;1;0;1
M012;Matematika;80;61;77;73;78;88;73;69;82;1;1;1;0;0;0;0
M013;Matematika;85;65;74;73;79;87;78;68;79;1;1;1;0;0;1;0
M014;Matematika;86;65;71;70;73;92;78;65;75;1;1;1;0;0;0;0
M015;Matematika;89;69;78;68;72;86;70;70;80;1;1;1;0;1;0;0
M016;Matematika;87;64;80;72;80;89;78;72;78;1;1;0;0;0;0;0
M017;Matematika;84;64;76;72;75;87;78;75;85;1;1;1;0;1;0;0
M018;Matematika;89;68;70;71;74;90;80;75;80;1;0;1;1;0;0;0
M019;Matematika;81;68;70;69;70;95;72;69;85;0;1;0;0;0;0;1
M020;Matematika;86;69;75;65;74;90;74;73;80;1;1;1;0;0;0;0
M021;Matematika;87;70;71;72;78;89;76;74;77;1;1;1;0;0;1;0
M022;Matematika;86;60;73;65;79;92;75;70;75;1;1;1;0;0;0;0
M023;Matematika;84;68;76;71;79;99;73;74;80;1;1;1;0;0;1;0
M024;Matematika;83;62;76;75;80;100;76;65;83;1;1;1;0;0;0;0
M025;Matematika;85;65;74;68;74;85;70;70;85;1;0;1;0;0;0;0
M026;Matematika;84;64;70;71;77;100;72;66;85;1;1;0;0;0;0;0
M027;Matematika;84;64;80;74;73;89;74;65;77;1;1;1;0;1;0;0
M028;Matematika;82;64;74;69;73;88;71;73;75;1;1;1;0;0;0;0
M029;Matematika;82;66;80;74;72;89;74;73;78;1;0;1;0;0;0;0
M030;Matematika;82;62;79;72;78;96;76;66;77;1;1;1;0;1;0;1
M031;Matematika;80;60;77;68;71;99;77;69;85;1;1;1;0;0;0;0
M032;Matematika;84;60;72;65;72;93;79;73;82;1;0;1;0;0;0;0
M033;Matematika;85;66;75;67;74;99;70;71;79;1;1;1;0;0;0;1
M034;Matematika;84;60;79;70;72;93;80;71;78;1;1;1;1;0;0;0
M035;Matematika;89;64;71;71;77;91;72;75;78;1;1;1;0;0;0;0
M036;Matematika;87;62;74;69;71;92;79;68;79;1;1;1;0;0;0;1
